Name	Code	Last	Cur	M. cap.	Industry
LVMH Moet Hennessy Louis Vuitton SE	MC XPAR	558.00	EUR	324,473	 Apparel
Hermes International SCA	RMS XPAR	2,106.00	EUR	260,918	 Textile & Leather
L'Oreal SA	OR XPAR	397.10	EUR	251,688	 Personal Products
Airbus SE	AIR XPAR	183.14	EUR	176,498	 Aerospace & Defense
Schneider Electric SE	SU XPAR	259.75	EUR	173,516	 Building Electrical Products
Safran SA	SAF XPAR	346.00	EUR	170,019	 Aerospace & Defense
TotalEnergies SE	TTE XPAR	66.14	EUR	165,187	 Integrated Oil & Gas
EssilorLuxottica SA	EL XPAR	236.00	EUR	130,016	 Medical Equipment
BNP Paribas SA	BNP XPAR	95.85	EUR	124,667	 Global Systemically Important Banks (G-SIBs)
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA	AI XPAR	174.76	EUR	119,489	 Specialty Chemicals
Sanofi SA	SAN XPAR	80.76	EUR	113,601	 Major Diversified Pharmaceuticals
Christian Dior SE	CDI XPAR	529.00	EUR	111,826	 Investment Holding Companies
AXA SA	CS XPAR	39.82	EUR	98,051	 Multiline Insurance & Brokers
Vinci SA	DG XPAR	140.90	EUR	91,860	 Engineering & Construction
Engie SA	ENGI XPAR	26.52	EUR	75,302	 Multiline Utilities
Credit Agricole SA	ACA XPAR	18.72	EUR	66,208	 Global Systemically Important Banks (G-SIBs)
Societe Generale SA	GLE XPAR	74.42	EUR	65,258	 Global Systemically Important Banks (G-SIBs)
Thales SA	HO XPAR	253.50	EUR	63,419	 Aerospace & Defense
Danone SA	BN XPAR	72.04	EUR	56,028	 Branded & Packaged Foods
Orange SA	ORA XPAR	17.73	EUR	55,609	 Integrated Telecommunications Services
Compagnie de Saint Gobain SA	SGO XPAR	88.50	EUR	52,724	 Construction Materials
Legrand SA	LR XPAR	154.15	EUR	47,574	 Building Electrical Products
Kering SA	KER XPAR	285.95	EUR	40,164	 Apparel
Veolia Environnement SA	VIE XPAR	34.56	EUR	29,675	 Water
Dassault Systemes SE	DSY XPAR	17.29	EUR	27,040	 Design & Engineering Software
Pernod Ricard SA	RI XPAR	83.80	EUR	25,754	 Distillers & Wineries
Bouygues SA	EN XPAR	51.36	EUR	23,134	 Engineering & Construction
Publicis Groupe SA	PUB XPAR	71.92	EUR	21,906	 Marketing & Advertising
Sartorius Stedim Biotech SA	DIM XPAR	176.70	EUR	20,822	 Medical Equipment
Capgemini SE	CAP XPAR	101.90	EUR	20,753	 Technology Consulting & Systems Integration
Amundi SA	AMUN XPAR	79.10	EUR	19,134	 Wealth & Asset Management
Unibail-Rodamco-Westfield SE	URW XPAR	104.70	EUR	17,633	 Retail REITs
